class_num,course_name,section_num,semester,year
2781,ECE 313,0,Fall,2019
1672,ECE 201,5,Fall,2019
1620,COSC 307,0,Fall,2019
1621,COSC 466,1,Fall,2019
5312,COSC 365,1,Spring,2019
3512,MATH 140,1,Fall,2017
3510,MATH 141,3,Fall,2017
3511,MATH 148,2,Fall,2017
1971,COSC 102,1,Spring,2017
3465,COSC 130,1,Fall,2017
3471,COSC 140,1,Fall,2017
3514,MATH 251,2,Fall,2017
5017,COSC 302,1,Fall,2017
1981,COSC 360,1,Spring,2017
3461,COSC 401,6,Spring,2018
3457,COSC 402,2,Spring,2018
1859,COSC 466,1,Spring,2018
1855,COSC 311,1,Spring,2018
1932,COSC 312,1,Spring,2018
1913,MATH 241,1,Spring,2018
3513,MATH 130,1,Fall,2017
5037,COSC 201,1,Spring,2017
