class_num,questionid
3471,000000001
3471,000000002
3471,000000003
3471,000000004
3471,000000005
3471,000000006
3471,000000007
3471,000000008
3471,000000009
3471,000000010
3471,000000011
3471,000000012
3471,000000013
3471,000000014
3471,000000015
3471,000000016
3471,000000017
3471,000000018
2781,000000001
2781,000000002
2781,000000003
2781,000000004
2781,000000005
2781,000000006
2781,000000007
2781,000000008
2781,000000009
2781,000000010
2781,000000011
2781,000000012
2781,000000013
2781,000000014
2781,000000015
2781,000000016
1672,000000001
1672,000000002
1672,000000003
1672,000000004
1672,000000005
1672,000000006
1672,000000007
1672,000000008
1672,000000009
1672,000000010
1672,000000011
1672,000000012
1672,000000013
1672,000000014
1672,000000015
1672,000000016
1672,000000017
1672,000000018
1620,000000001
1620,000000002
1620,000000003
1620,000000004
1620,000000005
1620,000000006
1620,000000007
1620,000000008
1620,000000009
1620,000000010
1620,000000011
1620,000000012
1620,000000013
1620,000000014
1620,000000015
1620,000000016
1620,000000017
1620,000000018
1621,000000001
1621,000000002
1621,000000003
1621,000000004
1621,000000005
1621,000000006
1621,000000007
1621,000000008
1621,000000009
1621,000000010
1621,000000011
1621,000000012
1621,000000013
1621,000000014
1621,000000015
1621,000000016
1621,000000017
1621,000000018
5312,000000001
5312,000000002
5312,000000003
5312,000000004
5312,000000005
5312,000000006
5312,000000007
5312,000000008
5312,000000009
5312,000000010
5312,000000013
5312,000000014
5312,000000015
5312,000000016
5312,000000017
5312,000000018
3465,000000001
3465,000000002
3465,000000003
3465,000000004
3465,000000005
3465,000000006
3465,000000007
3465,000000008
3465,000000009
3465,000000010
3465,000000011
3465,000000012
3465,000000013
3465,000000014
3465,000000015
3465,000000016
3465,000000017
3465,000000018
3510,000000001
3510,000000002
3510,000000003
3510,000000004
3510,000000005
3510,000000006
3510,000000007
3510,000000008
3510,000000009
3510,000000010
3510,000000011
3510,000000012
3510,000000013
3510,000000014
3510,000000015
3510,000000016
3510,000000017
3510,000000018
3511,000000001
3511,000000002
3511,000000003
3511,000000004
3511,000000005
3511,000000006
3511,000000007
3511,000000008
3511,000000009
3511,000000010
3511,000000011
3511,000000012
3511,000000013
3511,000000014
3511,000000015
3511,000000016
3511,000000017
3511,000000018
3512,000000001
3512,000000002
3512,000000003
3512,000000004
3512,000000005
3512,000000006
3512,000000007
3512,000000008
3512,000000009
3512,000000010
3512,000000011
3512,000000012
3512,000000013
3512,000000014
3512,000000015
3512,000000016
3512,000000017
3512,000000018
1971,000000001
1971,000000002
1971,000000003
1971,000000004
1971,000000005
1971,000000006
1971,000000007
1971,000000008
1971,000000009
1971,000000010
1971,000000011
1971,000000012
1971,000000013
1971,000000014
1971,000000015
1971,000000016
1971,000000017
1971,000000018
3514,000000001
3514,000000002
3514,000000003
3514,000000004
3514,000000005
3514,000000006
3514,000000007
3514,000000008
3514,000000009
3514,000000010
3514,000000011
3514,000000012
3514,000000013
3514,000000014
3514,000000015
3514,000000016
3514,000000017
3514,000000018
3513,000000001
3513,000000002
3513,000000003
3513,000000004
3513,000000005
3513,000000006
3513,000000007
3513,000000008
3513,000000009
3513,000000010
3513,000000011
3513,000000012
3513,000000013
3513,000000014
3513,000000015
3513,000000016
3513,000000017
3513,000000018
5017,000000001
5017,000000002
5017,000000003
5017,000000004
5017,000000005
5017,000000006
5017,000000007
5017,000000010
5017,000000013
5017,000000014
5017,000000015
5017,000000016
5017,000000017
5017,000000018
5037,000000001
5037,000000002
5037,000000003
5037,000000004
5037,000000005
5037,000000006
5037,000000007
5037,000000010
5037,000000013
5037,000000014
5037,000000015
5037,000000016
5037,000000017
5037,000000018
1981,000000001
1981,000000002
1981,000000003
1981,000000004
1981,000000005
1981,000000006
1981,000000007
1981,000000008
1981,000000009
1981,000000010
1981,000000011
1981,000000012
1981,000000013
1981,000000014
1981,000000015
1981,000000016
1981,000000017
1981,000000018
3461,000000001
3461,000000002
3461,000000003
3461,000000004
3461,000000005
3461,000000006
3461,000000007
3461,000000008
3461,000000009
3461,000000010
3461,000000011
3461,000000012
3461,000000013
3461,000000014
3461,000000015
3461,000000016
3461,000000017
3461,000000018
3457,000000001
3457,000000002
3457,000000003
3457,000000004
3457,000000005
3457,000000006
3457,000000007
3457,000000008
3457,000000009
3457,000000010
3457,000000011
3457,000000012
3457,000000013
3457,000000014
3457,000000015
3457,000000016
3457,000000017
3457,000000018
1859,000000001
1859,000000002
1859,000000003
1859,000000004
1859,000000005
1859,000000006
1859,000000007
1859,000000008
1859,000000009
1859,000000010
1859,000000013
1859,000000014
1859,000000015
1859,000000016
1859,000000017
1859,000000018
1855,000000001
1855,000000002
1855,000000003
1855,000000004
1855,000000005
1855,000000006
1855,000000007
1855,000000008
1855,000000009
1855,000000010
1855,000000011
1855,000000012
1855,000000013
1855,000000014
1855,000000015
1855,000000016
1855,000000017
1855,000000018
1932,000000001
1932,000000002
1932,000000003
1932,000000004
1932,000000005
1932,000000006
1932,000000007
1932,000000008
1932,000000009
1932,000000010
1932,000000011
1932,000000012
1932,000000013
1932,000000014
1932,000000015
1932,000000016
1932,000000017
1932,000000018
1913,000000001
1913,000000002
1913,000000003
1913,000000004
1913,000000005
1913,000000006
1913,000000007
1913,000000008
1913,000000009
1913,000000010
1913,000000011
1913,000000012
1913,000000013
1913,000000014
1913,000000015
1913,000000016
1913,000000017
1913,000000018
