evalid,studentid,class_num
000000001,120393fd3ccca724,2781
000000002,bf95403eec5e2be7,2781
000000003,1c00807d46daee79,1672
000000004,9c7d2f672bb140cb,1672
000000005,35611da39ae8eeb1,1672
000000006,322d6cb7a03ba380,1620
000000007,cf885963fc86e1bf,1621
000000008,b37fa6fa53d0220c,1621
000000009,1f049ea76e595729,5312
000000010,f177e90e46f0441b,5312
000000011,69fdcdafcd461dbb,5312
000000012,ea6974a0c3b474e1,5312
000000013,1424f91742952bdd,5312
000000014,c0a50fa07ba2e84e,3465
000000015,c0a50fa07ba2e84e,3512
000000016,cf834229a1574394,3512
000000017,1e2a713addbedb87,3511
000000018,c0a50fa07ba2e84e,1971
000000019,45113574e7282f40,1971
000000020,d435678b497ec126,3465
000000021,1e2a713addbedb87,3465
000000022,b37fa6fa53d0220c,3465
000000023,9e32681a3051e8d0,3471
000000024,3fa7f5946e4620ff,3471
000000025,28253f1d4f1629a5,3471
000000026,3c85f16b191f7e1d,3471
000000027,8096ed6f81458725,3514
000000028,3c85f16b191f7e1d,3514
000000029,b09592cae142f566,3513
000000030,1268833ab0051ed4,5017
000000031,8820a83e617cded8,5037
000000032,74ae8a3e74b7fe56,5037
000000033,aff2bc00e46c6207,5037
000000034,aff2bc00e46c6207,1981
000000035,2f3bc4bf5ce24531,1981
