questionid,type,text,options
000000001,MC,Year,"First,Second,Third,Fourth+"
000000002,MC,Sex,"Male,Female"
000000003,MC,Classes Missed,"0%,1-5%,6-10%,11-15%,16-20%,21-25%,26-30%,31-40%,41-50%,51-60%,61-80%,80-99%"
000000004,MC,Major,"Physics,Material Engineering,Computer Engineering,Chemical Engineering,Biology,Chemistry,Industrial Engineering,Computer Science,Business,Mathematics,Business Administration,Electrical Engineering,Economics,Undeclared"
000000005,MC,Expected Grade,"A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F"
000000006,MC,Reason Taking Course,"Pre-Prof Requirement,Prerequisite,College Requirement Major,Interested"
000000007,110,How well organized was the class?,
000000008,110,How concerned was the instructor with what students learned from the course?,
000000009,110,Were the grading criteria for the course clear?,
000000010,110,Was the instructor enthusiastic about the material?,
000000011,110,How much did the course promote your progress on acquiring factual knowledge?,
000000012,110,How much did the course promote your progress on understanding basic principles and concepts?,
000000013,AD,I would recommend this course to another student.,
000000014,AD,I would recommend this instructor to another student.,
000000015,FT,Comment on the strengths of the instructor,
000000016,FT,Comment on the weaknesses of the instructor,
000000017,FT,Comment on the strengths of the course,
000000018,FT,Comment on the weaknesses of the course,
